Date,Price
2017/9/4,26.22
2017/9/5,26.29
2017/9/6,26.25
2017/9/7,26.14
2017/9/8,26.23
2017/9/11,26.31
2017/9/12,26.49
2017/9/13,26.5
2017/9/14,26.51
2017/9/15,26.55
2017/9/18,26.8
2017/9/19,26.48
2017/9/20,26.34
2017/9/21,26.43
2017/9/22,26.2
2017/9/25,25.8
2017/9/26,25.65
2017/9/27,25.77
2017/9/28,25.8
2017/9/29,25.8
2017/9/30,25.96
2017/10/2,26.15
2017/10/3,26.24
2017/10/5,26.29
2017/10/6,26.41
2017/10/11,26.41
2017/10/12,26.39
2017/10/13,26.28
2017/10/16,26.38
2017/10/17,26.31
2017/10/18,26.33
2017/10/19,26.35
2017/10/20,26.33
2017/10/23,26.5
2017/10/24,26.64
2017/10/25,26.64
2017/10/26,26.62
2017/10/27,26.39
2017/10/30,25.5
2017/10/31,25.58
2017/11/1,25.6
2017/11/2,25.67
2017/11/3,25.69
2017/11/6,25.6
2017/11/7,25.6
2017/11/8,25.65
2017/11/9,25.41
2017/11/10,25.29
2017/11/13,25
2017/11/14,25.14
2017/11/15,25.03
2017/11/16,25.04
2017/11/17,25.13
2017/11/20,25.09
2017/11/21,25.19
2017/11/22,25.17
2017/11/23,25.2
2017/11/24,25.26
2017/11/27,25.2
2017/11/28,25.1
2017/11/29,25.15
2017/11/30,24.99
2017/12/1,24.99
2017/12/4,24.99
2017/12/5,24.86
2017/12/6,24.61
2017/12/7,24.48
2017/12/8,24.72
2017/12/11,24.9
2017/12/12,24.8
2017/12/13,24.83
2017/12/14,24.92
2017/12/15,24.86
2017/12/18,24.95
2017/12/19,24.88
2017/12/20,24.9
2017/12/21,24.9
2017/12/22,24.9
2017/12/25,24.94
2017/12/26,24.89
2017/12/27,24.9
2017/12/28,24.9
2017/12/29,25
2018/1/2,25.13
2018/1/3,25.31
2018/1/4,25.41
2018/1/5,25.44
2018/1/8,25.57
2018/1/9,25.5
2018/1/10,25.37
2018/1/11,25.41
2018/1/12,25.54
2018/1/15,25.65
2018/1/16,25.8
2018/1/17,25.92
2018/1/18,26.02
2018/1/19,26
2018/1/22,26.25
2018/1/23,26.2
2018/1/24,26.32
2018/1/25,26.45
2018/1/26,26.54
2018/1/29,26.8
2018/1/30,26.41
2018/1/31,26.45
2018/2/1,26.42
2018/2/2,26.34
2018/2/5,26
2018/2/6,24.99
2018/2/7,25.43
2018/2/8,25.5
2018/2/9,25.5
2018/2/12,25.15
2018/2/21,25.72
2018/2/22,25.62
2018/2/23,25.8
2018/2/26,25.98
2018/2/27,25.95
2018/3/1,25.91
2018/3/2,25.76
2018/3/5,25.63
2018/3/6,25.76
2018/3/7,25.7
2018/3/8,26.01
2018/3/9,25.93
2018/3/12,26.1
2018/3/13,26.17
2018/3/14,26.08
2018/3/15,26.11
2018/3/16,26.16
2018/3/19,26.19
2018/3/20,26.13
2018/3/21,26.17
2018/3/22,26.14
2018/3/23,25.82
2018/3/26,26
2018/3/27,26.08
2018/3/28,25.93
2018/3/29,25.9
2018/3/30,25.96
2018/3/31,25.95
2018/4/2,26.02
2018/4/3,25.92
2018/4/9,25.95
2018/4/10,25.95
2018/4/11,26.11
2018/4/12,26
2018/4/13,25.99
2018/4/16,25.98
2018/4/17,25.77
2018/4/18,25.68
2018/4/19,25.86
2018/4/20,25.82
2018/4/23,25.69
2018/4/24,25.5
2018/4/25,25.31
2018/4/26,25.23
2018/4/27,25.15
2018/4/30,25.4
2018/5/2,25.34
2018/5/3,25.22
2018/5/4,25.2
2018/5/7,25.3
2018/5/8,25.43
2018/5/9,25.4
2018/5/10,25.48
2018/5/11,25.6
2018/5/14,25.85
2018/5/15,25.78
2018/5/16,25.93
2018/5/17,26.06
2018/5/18,26.2
2018/5/21,26.35
2018/5/22,26.4
2018/5/23,26.4
2018/5/24,26.41
2018/5/25,26.33
2018/5/28,26.39
2018/5/29,26.37
2018/5/30,26.01
2018/5/31,26.19
2018/6/1,26.4
2018/6/4,26.62
2018/6/5,26.61
2018/6/6,26.79
2018/6/7,26.79
2018/6/8,26.67
2018/6/11,26.69
2018/6/12,26.6
2018/6/13,26.56
2018/6/14,26.39
2018/6/15,26.32
2018/6/19,26.2
2018/6/20,26.1
2018/6/21,26.12
2018/6/22,26
2018/6/25,25.78
2018/6/26,25.65
2018/6/27,25.64
2018/6/28,25.4
2018/6/29,25.66
2018/7/2,25.61
2018/7/3,25.5
2018/7/4,25.53
2018/7/5,25.31
2018/7/6,25.3
2018/7/9,25.6
2018/7/10,25.63
2018/7/11,25.51
2018/7/12,25.61
2018/7/13,25.79
2018/7/16,25.93
2018/7/17,25.97
2018/7/18,26.21
2018/7/19,26.13
2018/7/20,26.14
2018/7/23,26.23
2018/7/24,26.42
2018/7/25,26.47
2018/7/26,26.59
2018/7/27,26.89
2018/7/30,27.04
2018/7/31,27.19
2018/8/1,27.28
2018/8/2,27
2018/8/3,27.18
2018/8/6,27.43
2018/8/7,27.45
2018/8/8,27.6
2018/8/9,27.5
2018/8/10,27.53
2018/8/13,27.18
2018/8/14,27.38
2018/8/15,27.1
2018/8/16,27.09
2018/8/17,27.12
2018/8/20,27.19
2018/8/21,27.23
2018/8/22,27.29
2018/8/23,27.3
2018/8/24,27.2
2018/8/27,27.35
2018/8/28,27.56
2018/8/29,27.61
2018/8/30,27.7
2018/8/31,27.78
2018/9/3,27.63
2018/9/4,27.63
2018/9/5,27.53
2018/9/6,27.45
2018/9/7,27.19
2018/9/10,26.67
2018/9/11,26.78
2018/9/12,26.74
2018/9/13,26.92
2018/9/14,27.4
2018/9/17,27.46
2018/9/18,27.4
2018/9/19,27.41
2018/9/20,27.4
2018/9/21,27.41
2018/9/25,27.49
2018/9/26,27.4
2018/9/27,27.33
2018/9/28,27.28
2018/10/1,27.32
2018/10/2,27.2
2018/10/3,26.97
2018/10/4,26.78
2018/10/5,26.43
2018/10/8,26.7
2018/10/9,26.34
2018/10/11,24.91
2018/10/12,25.26
2018/10/15,25.18
2018/10/16,25.39
2018/10/17,25.51
2018/10/18,25.54
2018/10/19,25.55
2018/10/22,25.81
2018/10/23,24.13
2018/10/24,24.12
2018/10/25,23.59
2018/10/26,23.43
2018/10/29,23.34
2018/10/30,23.42
2018/10/31,23.78
2018/11/1,24.08
2018/11/2,24.18
